actionType	chemblIds	targetType	targets
RNAI INHIBITOR	CHEMBL4594511	nucleic-acid	ENSG00000118271
AGONIST	CHEMBL2109093	single protein	ENSG00000187266
MODULATOR	CHEMBL487	protein family	ENSG00000140009
MODULATOR	CHEMBL487	protein family	ENSG00000091831
BINDING AGENT	CHEMBL2109574	single protein	ENSG00000204385
INHIBITOR	CHEMBL4594579	single protein	ENSG00000004468
INHIBITOR	CHEMBL1200804	protein family	ENSG00000073756
INHIBITOR	CHEMBL1200804	protein family	ENSG00000095303
INHIBITOR	CHEMBL139	protein family	ENSG00000073756
INHIBITOR	CHEMBL139	protein family	ENSG00000095303
INHIBITOR	CHEMBL2109466	single protein	ENSG00000169194
INHIBITOR	CHEMBL603469	single protein	ENSG00000140538
INHIBITOR	CHEMBL4594287	protein family	ENSG00000065989
INHIBITOR	CHEMBL4594287	protein family	ENSG00000113448
INHIBITOR	CHEMBL4594287	protein family	ENSG00000184588
INHIBITOR	CHEMBL4594287	protein family	ENSG00000105650
AGONIST	CHEMBL1201032	single protein	ENSG00000135312
AGONIST	CHEMBL905	single protein	ENSG00000135312
BINDING AGENT	CHEMBL4297788	protein complex	ENSG00000198851
BINDING AGENT	CHEMBL4297788	protein complex	ENSG00000160654
BINDING AGENT	CHEMBL4297788	protein complex	ENSG00000167286
INHIBITOR	CHEMBL1201735	single protein	ENSG00000103546
INHIBITOR	CHEMBL894	single protein	ENSG00000103546
BLOCKER	CHEMBL29919	single protein	ENSG00000153253
INHIBITOR	CHEMBL267648	protein complex	
BINDING AGENT	CHEMBL3707277	single protein	ENSG00000146648
INHIBITOR	CHEMBL1090479	single protein	ENSG00000178999
INHIBITOR	CHEMBL4650395	single protein	ENSG00000088053
INHIBITOR	CHEMBL4650324	single protein	
INHIBITOR	CHEMBL3545157	single protein	ENSG00000082701
AGONIST	CHEMBL2104964	protein complex	ENSG00000160716
AGONIST	CHEMBL2104964	protein complex	ENSG00000101204
AGONIST	CHEMBL430497	protein complex	ENSG00000160716
AGONIST	CHEMBL430497	protein complex	ENSG00000101204
INHIBITOR	CHEMBL124363	single protein	
INHIBITOR	CHEMBL4594253	single protein	ENSG00000165025
INHIBITOR	CHEMBL3979920	single protein	ENSG00000165025
AGONIST	CHEMBL2103784	single protein	ENSG00000185231
INHIBITOR	CHEMBL3545089	single protein	ENSG00000104365
INHIBITOR	CHEMBL3989944	single protein	ENSG00000079999
AGONIST	CHEMBL1200335	single protein	ENSG00000169083
AGONIST	CHEMBL3707377	single protein	ENSG00000082175
INHIBITOR	CHEMBL1257015	single protein	ENSG00000006638
INHIBITOR	CHEMBL258734	protein complex	
INHIBITOR	CHEMBL4298002	single protein	ENSG00000180210
ANTISENSE INHIBITOR	CHEMBL2219776	nucleic-acid	ENSG00000141510
INHIBITOR	CHEMBL4650277	protein family	ENSG00000105221
INHIBITOR	CHEMBL4650277	protein family	ENSG00000117020
INHIBITOR	CHEMBL4650277	protein family	ENSG00000142208
INHIBITOR	CHEMBL3545134	protein complex	ENSG00000175634
INHIBITOR	CHEMBL3545134	protein complex	ENSG00000108443
INHIBITOR	CHEMBL4297625	single protein	ENSG00000140675
ANTAGONIST	CHEMBL1201023	single protein	ENSG00000196639
ANTAGONIST	CHEMBL900	single protein	ENSG00000196639
ANTAGONIST	CHEMBL1245	protein complex	ENSG00000117971
ANTAGONIST	CHEMBL1245	protein complex	ENSG00000080644
ANTAGONIST	CHEMBL1201329	protein complex	ENSG00000117971
ANTAGONIST	CHEMBL1201329	protein complex	ENSG00000080644
AGONIST	CHEMBL3989693	single protein	ENSG00000169252
AGONIST	CHEMBL1002	single protein	ENSG00000169252
NEGATIVE ALLOSTERIC MODULATOR	CHEMBL2364608	single protein	
BLOCKER	CHEMBL1481	protein complex	ENSG00000187486
BLOCKER	CHEMBL1481	protein complex	ENSG00000006071
ANTAGONIST	CHEMBL1393	single protein	ENSG00000151623
INHIBITOR	CHEMBL3545117	single protein	ENSG00000112062
INHIBITOR	CHEMBL1334033	single protein	ENSG00000157184
INHIBITOR	CHEMBL75880	single protein	ENSG00000157184
OTHER	CHEMBL2109267	single protein	ENSG00000105383
ACTIVATOR	CHEMBL2108147	single protein	ENSG00000122194
INHIBITOR	CHEMBL4298040	single protein	
INHIBITOR	CHEMBL2017179	single protein	ENSG00000087237
INHIBITOR	CHEMBL1615025	single protein	ENSG00000126934
AGONIST	CHEMBL4650273	single protein	ENSG00000166603
AGONIST	CHEMBL3301624	single protein	ENSG00000166603
ANTAGONIST	CHEMBL1200492	single protein	ENSG00000102468
ANTAGONIST	CHEMBL623	single protein	ENSG00000102468
ANTAGONIST	CHEMBL1095097	single protein	ENSG00000151623
INHIBITOR	CHEMBL288149	protein nucleic-acid complex	
INHIBITOR	CHEMBL1200397	single protein	
INHIBITOR	CHEMBL990	single protein	
INHIBITOR	CHEMBL2177390	protein family	ENSG00000105221
INHIBITOR	CHEMBL2177390	protein family	ENSG00000117020
INHIBITOR	CHEMBL2177390	protein family	ENSG00000142208
ANTAGONIST	CHEMBL1200813	single protein	ENSG00000043591
ANTAGONIST	CHEMBL642	single protein	ENSG00000043591
INHIBITOR	CHEMBL2107333	single protein	ENSG00000079999
ANTAGONIST	CHEMBL1172	single protein	ENSG00000196639
INHIBITOR	CHEMBL4297928	protein family	ENSG00000213906
INHIBITOR	CHEMBL4297928	protein family	ENSG00000213903
AGONIST	CHEMBL2151570	single protein	ENSG00000175344
ANTAGONIST	CHEMBL16476	single protein	ENSG00000169252
ANTISENSE INHIBITOR	CHEMBL4650476	nucleic-acid	ENSG00000166828
ANTISENSE INHIBITOR	CHEMBL4650476	nucleic-acid	ENSG00000111319
ANTISENSE INHIBITOR	CHEMBL4650476	nucleic-acid	ENSG00000168447
INHIBITOR	CHEMBL467	protein complex group	ENSG00000167325
INHIBITOR	CHEMBL467	protein complex group	ENSG00000048392
INHIBITOR	CHEMBL467	protein complex group	ENSG00000171848
AGONIST	CHEMBL2218917	single protein	ENSG00000133019
AGONIST	CHEMBL168815	single protein	ENSG00000133019
MODULATOR	CHEMBL3989927	protein complex	ENSG00000113851
MODULATOR	CHEMBL3989927	protein complex	ENSG00000167986
MODULATOR	CHEMBL3989927	protein complex	ENSG00000139842
MODULATOR	CHEMBL3989927	protein complex	ENSG00000100387
INHIBITOR	CHEMBL2146063	protein nucleic-acid complex	
INHIBITOR	CHEMBL404520	protein nucleic-acid complex	
INHIBITOR	CHEMBL3545072	single protein	ENSG00000138379
INHIBITOR	CHEMBL1201605	protein complex	ENSG00000134460
INHIBITOR	CHEMBL1201605	protein complex	ENSG00000147168
INHIBITOR	CHEMBL1201605	protein complex	ENSG00000100385
INHIBITOR	CHEMBL4297522	single protein	ENSG00000066468
INHIBITOR	CHEMBL3545137	single protein	ENSG00000149554
AGONIST	CHEMBL1200601	single protein	ENSG00000135312
AGONIST	CHEMBL1278	single protein	ENSG00000135312
ANTAGONIST	CHEMBL995	single protein	ENSG00000144891
ANTAGONIST	CHEMBL191	single protein	ENSG00000144891
INHIBITOR	CHEMBL3643413	single protein	ENSG00000171608
INHIBITOR	CHEMBL1201584	protein complex	ENSG00000259207
INHIBITOR	CHEMBL1201584	protein complex	ENSG00000005961
INHIBITOR	CHEMBL2103829	single protein	ENSG00000108576
AGONIST	CHEMBL4175981	single protein	ENSG00000188822
INHIBITOR	CHEMBL4297884	single protein	ENSG00000187764
MODULATOR	CHEMBL940	protein complex group	ENSG00000196557
MODULATOR	CHEMBL940	protein complex group	ENSG00000153956
MODULATOR	CHEMBL940	protein complex group	ENSG00000151067
MODULATOR	CHEMBL940	protein complex group	ENSG00000157445
MODULATOR	CHEMBL940	protein complex group	ENSG00000081248
MODULATOR	CHEMBL940	protein complex group	ENSG00000007402
MODULATOR	CHEMBL940	protein complex group	ENSG00000157388
MODULATOR	CHEMBL940	protein complex group	ENSG00000141837
MODULATOR	CHEMBL940	protein complex group	ENSG00000148408
MODULATOR	CHEMBL940	protein complex group	ENSG00000006283
MODULATOR	CHEMBL940	protein complex group	ENSG00000151062
MODULATOR	CHEMBL940	protein complex group	ENSG00000100346
MODULATOR	CHEMBL940	protein complex group	ENSG00000102001
MODULATOR	CHEMBL940	protein complex group	ENSG00000198216
MODULATOR	CHEMBL940	protein complex group	ENSG00000182389
MODULATOR	CHEMBL940	protein complex group	ENSG00000165995
MODULATOR	CHEMBL940	protein complex group	ENSG00000067191
MODULATOR	CHEMBL940	protein complex group	ENSG00000167535
MODULATOR	CHEMBL940	protein complex group	ENSG00000105605
MODULATOR	CHEMBL940	protein complex group	ENSG00000075429
MODULATOR	CHEMBL940	protein complex group	ENSG00000166862
MODULATOR	CHEMBL940	protein complex group	ENSG00000075461
MODULATOR	CHEMBL940	protein complex group	ENSG00000142408
MODULATOR	CHEMBL940	protein complex group	ENSG00000006116
MODULATOR	CHEMBL940	protein complex group	ENSG00000130433
MODULATOR	CHEMBL940	protein complex group	ENSG00000108878
INHIBITOR	CHEMBL4213970	single protein	ENSG00000102882
ANTAGONIST	CHEMBL267044	single protein	ENSG00000149295
INHIBITOR	CHEMBL832	single protein	ENSG00000197891
ANTAGONIST	CHEMBL3707378	single protein	ENSG00000104321
INHIBITOR	CHEMBL488	single protein	ENSG00000137869
AGONIST	CHEMBL3545163	single protein	ENSG00000128271
INHIBITOR	CHEMBL3301583	single protein	ENSG00000003436
ANTAGONIST	CHEMBL1688243	single protein	ENSG00000160791
INHIBITOR	CHEMBL1201777	single protein	ENSG00000103546
INHIBITOR	CHEMBL1201776	single protein	ENSG00000103546
POSITIVE MODULATOR	CHEMBL2108278	nucleic-acid	ENSG00000198947
INHIBITOR	CHEMBL3989829	protein nucleic-acid complex	
INHIBITOR	CHEMBL1572	protein nucleic-acid complex	
INHIBITOR	CHEMBL4297643	single protein	ENSG00000115020
INHIBITOR	CHEMBL76222	single protein	ENSG00000196611
OTHER	CHEMBL2108258	single protein	ENSG00000187010
OTHER	CHEMBL2109447	single protein	ENSG00000196126
ANTAGONIST	CHEMBL3989694	single protein	ENSG00000102468
ANTAGONIST	CHEMBL715	single protein	ENSG00000102468
INHIBITOR	CHEMBL1096979	single protein	ENSG00000132437
INHIBITOR	CHEMBL1650595	single protein	ENSG00000140992
AGONIST	CHEMBL4650337	single protein	ENSG00000146399
INHIBITOR	CHEMBL3989939	protein family	ENSG00000198400
INHIBITOR	CHEMBL3989939	protein family	ENSG00000148053
INHIBITOR	CHEMBL3989939	protein family	ENSG00000140538
INHIBITOR	CHEMBL3889654	protein family	ENSG00000198400
INHIBITOR	CHEMBL3889654	protein family	ENSG00000148053
INHIBITOR	CHEMBL3889654	protein family	ENSG00000140538
AGONIST	CHEMBL4297608	single protein	ENSG00000111424
INHIBITOR	CHEMBL2109636	single protein	ENSG00000106804
BINDING AGENT	CHEMBL4650393	protein complex	ENSG00000198851
BINDING AGENT	CHEMBL4650393	protein complex	ENSG00000160654
BINDING AGENT	CHEMBL4650393	protein complex	ENSG00000167286
INHIBITOR	CHEMBL3623290	single protein	ENSG00000146648
AGONIST	CHEMBL4297483	single protein	ENSG00000169252
ANTAGONIST	CHEMBL3545349	protein complex	ENSG00000176884
ANTAGONIST	CHEMBL3545349	protein complex	ENSG00000273079
ANTAGONIST	CHEMBL3545350	protein complex	ENSG00000176884
ANTAGONIST	CHEMBL3545350	protein complex	ENSG00000273079
OPENER	CHEMBL1200694	single protein	ENSG00000100433
AGONIST	CHEMBL2107067	single protein	ENSG00000169083
BINDING AGENT	CHEMBL2109678	single protein	ENSG00000086205
INHIBITOR	CHEMBL2109621	protein complex	ENSG00000150093
INHIBITOR	CHEMBL2109621	protein complex	ENSG00000138448
INHIBITOR	CHEMBL1703	protein complex	ENSG00000198695
INHIBITOR	CHEMBL1703	protein complex	ENSG00000130414
INHIBITOR	CHEMBL1703	protein complex	ENSG00000110717
INHIBITOR	CHEMBL1703	protein complex	ENSG00000212907
INHIBITOR	CHEMBL1703	protein complex	ENSG00000184983
INHIBITOR	CHEMBL1703	protein complex	ENSG00000198888
INHIBITOR	CHEMBL1703	protein complex	ENSG00000165264
INHIBITOR	CHEMBL1703	protein complex	ENSG00000189043
INHIBITOR	CHEMBL1703	protein complex	ENSG00000174886
INHIBITOR	CHEMBL1703	protein complex	ENSG00000099795
INHIBITOR	CHEMBL1703	protein complex	ENSG00000198763
INHIBITOR	CHEMBL1703	protein complex	ENSG00000158864
INHIBITOR	CHEMBL1703	protein complex	ENSG00000198786
INHIBITOR	CHEMBL1703	protein complex	ENSG00000119421
INHIBITOR	CHEMBL1703	protein complex	ENSG00000136521
INHIBITOR	CHEMBL1703	protein complex	ENSG00000198886
INHIBITOR	CHEMBL1703	protein complex	ENSG00000198840
INHIBITOR	CHEMBL1703	protein complex	ENSG00000004779
INHIBITOR	CHEMBL1703	protein complex	ENSG00000125356
INHIBITOR	CHEMBL1703	protein complex	ENSG00000164258
INHIBITOR	CHEMBL1703	protein complex	ENSG00000119013
INHIBITOR	CHEMBL1703	protein complex	ENSG00000109390
INHIBITOR	CHEMBL1703	protein complex	ENSG00000131495
INHIBITOR	CHEMBL1703	protein complex	ENSG00000168653
INHIBITOR	CHEMBL1703	protein complex	ENSG00000115286
INHIBITOR	CHEMBL1703	protein complex	ENSG00000145494
INHIBITOR	CHEMBL1703	protein complex	ENSG00000183648
INHIBITOR	CHEMBL1703	protein complex	ENSG00000213619
INHIBITOR	CHEMBL1703	protein complex	ENSG00000170906
INHIBITOR	CHEMBL1703	protein complex	ENSG00000065518
INHIBITOR	CHEMBL1703	protein complex	ENSG00000166136
INHIBITOR	CHEMBL1703	protein complex	ENSG00000090266
INHIBITOR	CHEMBL1703	protein complex	ENSG00000267855
INHIBITOR	CHEMBL1703	protein complex	ENSG00000151366
INHIBITOR	CHEMBL1703	protein complex	ENSG00000140990
INHIBITOR	CHEMBL1703	protein complex	ENSG00000178127
INHIBITOR	CHEMBL1703	protein complex	ENSG00000023228
INHIBITOR	CHEMBL1703	protein complex	ENSG00000167792
INHIBITOR	CHEMBL1703	protein complex	ENSG00000160194
INHIBITOR	CHEMBL1703	protein complex	ENSG00000128609
INHIBITOR	CHEMBL1703	protein complex	ENSG00000139180
INHIBITOR	CHEMBL1703	protein complex	ENSG00000164182
INHIBITOR	CHEMBL1703	protein complex	ENSG00000178057
INHIBITOR	CHEMBL1703	protein complex	ENSG00000185633
INHIBITOR	CHEMBL1703	protein complex	ENSG00000147123
INHIBITOR	CHEMBL1703	protein complex	ENSG00000123545
INHIBITOR	CHEMBL1703	protein complex	ENSG00000186010
INHIBITOR	CHEMBL1703	protein complex	ENSG00000184752
INHIBITOR	CHEMBL1703	protein complex	ENSG00000137806
INHIBITOR	CHEMBL1703	protein complex	ENSG00000147684
INHIBITOR	CHEMBL1431	protein complex	ENSG00000198695
INHIBITOR	CHEMBL1431	protein complex	ENSG00000130414
INHIBITOR	CHEMBL1431	protein complex	ENSG00000110717
INHIBITOR	CHEMBL1431	protein complex	ENSG00000212907
INHIBITOR	CHEMBL1431	protein complex	ENSG00000184983
INHIBITOR	CHEMBL1431	protein complex	ENSG00000198888
INHIBITOR	CHEMBL1431	protein complex	ENSG00000165264
INHIBITOR	CHEMBL1431	protein complex	ENSG00000189043
INHIBITOR	CHEMBL1431	protein complex	ENSG00000174886
INHIBITOR	CHEMBL1431	protein complex	ENSG00000099795
INHIBITOR	CHEMBL1431	protein complex	ENSG00000198763
INHIBITOR	CHEMBL1431	protein complex	ENSG00000158864
INHIBITOR	CHEMBL1431	protein complex	ENSG00000198786
INHIBITOR	CHEMBL1431	protein complex	ENSG00000119421
INHIBITOR	CHEMBL1431	protein complex	ENSG00000136521
INHIBITOR	CHEMBL1431	protein complex	ENSG00000198886
INHIBITOR	CHEMBL1431	protein complex	ENSG00000198840
INHIBITOR	CHEMBL1431	protein complex	ENSG00000004779
INHIBITOR	CHEMBL1431	protein complex	ENSG00000125356
INHIBITOR	CHEMBL1431	protein complex	ENSG00000164258
INHIBITOR	CHEMBL1431	protein complex	ENSG00000119013
INHIBITOR	CHEMBL1431	protein complex	ENSG00000109390
INHIBITOR	CHEMBL1431	protein complex	ENSG00000131495
INHIBITOR	CHEMBL1431	protein complex	ENSG00000168653
INHIBITOR	CHEMBL1431	protein complex	ENSG00000115286
INHIBITOR	CHEMBL1431	protein complex	ENSG00000145494
INHIBITOR	CHEMBL1431	protein complex	ENSG00000183648
INHIBITOR	CHEMBL1431	protein complex	ENSG00000213619
INHIBITOR	CHEMBL1431	protein complex	ENSG00000170906
INHIBITOR	CHEMBL1431	protein complex	ENSG00000065518
INHIBITOR	CHEMBL1431	protein complex	ENSG00000166136
INHIBITOR	CHEMBL1431	protein complex	ENSG00000090266
INHIBITOR	CHEMBL1431	protein complex	ENSG00000267855
INHIBITOR	CHEMBL1431	protein complex	ENSG00000151366
INHIBITOR	CHEMBL1431	protein complex	ENSG00000140990
INHIBITOR	CHEMBL1431	protein complex	ENSG00000178127
INHIBITOR	CHEMBL1431	protein complex	ENSG00000023228
INHIBITOR	CHEMBL1431	protein complex	ENSG00000167792
INHIBITOR	CHEMBL1431	protein complex	ENSG00000160194
INHIBITOR	CHEMBL1431	protein complex	ENSG00000128609
INHIBITOR	CHEMBL1431	protein complex	ENSG00000139180
INHIBITOR	CHEMBL1431	protein complex	ENSG00000164182
INHIBITOR	CHEMBL1431	protein complex	ENSG00000178057
INHIBITOR	CHEMBL1431	protein complex	ENSG00000185633
INHIBITOR	CHEMBL1431	protein complex	ENSG00000147123
INHIBITOR	CHEMBL1431	protein complex	ENSG00000123545
INHIBITOR	CHEMBL1431	protein complex	ENSG00000186010
INHIBITOR	CHEMBL1431	protein complex	ENSG00000184752
INHIBITOR	CHEMBL1431	protein complex	ENSG00000137806
INHIBITOR	CHEMBL1431	protein complex	ENSG00000147684
ACTIVATOR	CHEMBL4303525	single protein	ENSG00000116044
AGONIST	CHEMBL1963684	single protein	ENSG00000187266
INHIBITOR	CHEMBL1873475	single protein	ENSG00000010671
INHIBITOR	CHEMBL1766582	single protein	ENSG00000112062
INHIBITOR	CHEMBL1230122	single protein	ENSG00000112062
INHIBITOR	CHEMBL3989921	single protein	ENSG00000146648
INHIBITOR	CHEMBL180022	single protein	ENSG00000146648
AGONIST	CHEMBL3545223	single protein	ENSG00000163485
INHIBITOR	CHEMBL4594472	single protein	ENSG00000146648
INHIBITOR	CHEMBL3545141	single protein	ENSG00000105851
OTHER	CHEMBL1743027	single protein	ENSG00000107159
INHIBITOR	CHEMBL3545155	single protein	ENSG00000128052
INHIBITOR	CHEMBL1237061	single protein	ENSG00000113161
INHIBITOR	CHEMBL1201753	single protein	ENSG00000113161
ANTAGONIST	CHEMBL3039518	single protein	ENSG00000181072
BINDING AGENT	CHEMBL2109485	single protein	ENSG00000013725
INHIBITOR	CHEMBL4751394	single protein	ENSG00000105221
INHIBITOR	CHEMBL3545196	single protein	ENSG00000077782
INHIBITOR	CHEMBL49120	single protein	ENSG00000077782
BINDING AGENT	CHEMBL2108403	single protein	ENSG00000185499
AGONIST	CHEMBL3989521	protein family	ENSG00000043591
AGONIST	CHEMBL3989521	protein family	ENSG00000169252
AGONIST	CHEMBL3989521	protein family	ENSG00000188778
AGONIST	CHEMBL434	protein family	ENSG00000043591
AGONIST	CHEMBL434	protein family	ENSG00000169252
AGONIST	CHEMBL434	protein family	ENSG00000188778
ANTAGONIST	CHEMBL1743051	single protein	ENSG00000105976
INHIBITOR	CHEMBL3353410	single protein	ENSG00000146648
ANTAGONIST	CHEMBL1691	single protein	ENSG00000043591
ANTAGONIST	CHEMBL423	single protein	ENSG00000043591
INHIBITOR	CHEMBL1980391	single protein	ENSG00000142731
CROSS-LINKING AGENT	CHEMBL2108029	single protein	ENSG00000141736
INHIBITOR	CHEMBL1200510	protein nucleic-acid complex	
INHIBITOR	CHEMBL532	protein nucleic-acid complex	
AGONIST	CHEMBL1201497	single protein	ENSG00000171105
AGONIST	CHEMBL21536	single protein	ENSG00000168539
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000188229
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000101162
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000198033
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000127824
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000258947
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000167552
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000104833
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000261456
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000196230
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000123416
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000167553
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000152086
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000137267
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000137285
INHIBITOR	CHEMBL1743028	protein complex group	ENSG00000176014
ANTISENSE INHIBITOR	CHEMBL2109229	nucleic-acid	ENSG00000171791
ANTAGONIST	CHEMBL1287935	single protein	ENSG00000120088
INHIBITOR	CHEMBL3989958	single protein	ENSG00000138413
AGONIST	CHEMBL1523964	protein family	ENSG00000120907
AGONIST	CHEMBL1523964	protein family	ENSG00000150594
AGONIST	CHEMBL1523964	protein family	ENSG00000043591
AGONIST	CHEMBL1523964	protein family	ENSG00000169252
AGONIST	CHEMBL1523964	protein family	ENSG00000184160
AGONIST	CHEMBL1523964	protein family	ENSG00000171873
AGONIST	CHEMBL1523964	protein family	ENSG00000170214
AGONIST	CHEMBL1523964	protein family	ENSG00000274286
AGONIST	CHEMBL1523964	protein family	ENSG00000188778
AGONIST	CHEMBL211456	protein family	ENSG00000120907
AGONIST	CHEMBL211456	protein family	ENSG00000150594
AGONIST	CHEMBL211456	protein family	ENSG00000043591
AGONIST	CHEMBL211456	protein family	ENSG00000169252
AGONIST	CHEMBL211456	protein family	ENSG00000184160
AGONIST	CHEMBL211456	protein family	ENSG00000171873
AGONIST	CHEMBL211456	protein family	ENSG00000170214
AGONIST	CHEMBL211456	protein family	ENSG00000274286
AGONIST	CHEMBL211456	protein family	ENSG00000188778
ANTAGONIST	CHEMBL2178578	single protein	ENSG00000173585
INHIBITOR	CHEMBL3916243	single protein	ENSG00000186318
INHIBITOR	CHEMBL463981	protein complex	ENSG00000117362
INHIBITOR	CHEMBL463981	protein complex	ENSG00000205155
INHIBITOR	CHEMBL463981	protein complex	ENSG00000138613
INHIBITOR	CHEMBL463981	protein complex	ENSG00000080815
INHIBITOR	CHEMBL463981	protein complex	ENSG00000162736
INHIBITOR	CHEMBL463981	protein complex	ENSG00000143801
ANTAGONIST	CHEMBL1921904	single protein	ENSG00000133019
BINDING AGENT	CHEMBL2109265	single protein	ENSG00000119888
INHIBITOR	CHEMBL1957287	single protein	
BLOCKER	CHEMBL918	protein family	ENSG00000144285
BLOCKER	CHEMBL918	protein family	ENSG00000183873
BLOCKER	CHEMBL918	protein family	ENSG00000007314
BLOCKER	CHEMBL918	protein family	ENSG00000136546
BLOCKER	CHEMBL918	protein family	ENSG00000136531
BLOCKER	CHEMBL918	protein family	ENSG00000169432
BLOCKER	CHEMBL918	protein family	ENSG00000153253
BLOCKER	CHEMBL918	protein family	ENSG00000168356
BLOCKER	CHEMBL918	protein family	ENSG00000196876
BLOCKER	CHEMBL918	protein family	ENSG00000185313
ANTAGONIST	CHEMBL3187246	single protein	ENSG00000196639
ANTAGONIST	CHEMBL1411979	single protein	ENSG00000196639
INHIBITOR	CHEMBL2392545	single protein	ENSG00000166851
INHIBITOR	CHEMBL2108167	single protein	ENSG00000131471
ANTAGONIST	CHEMBL1200885	single protein	ENSG00000166736
ANTAGONIST	CHEMBL1110	single protein	ENSG00000166736
AGONIST	CHEMBL4297404	single protein	ENSG00000132170
ANTAGONIST	CHEMBL1423	protein family	ENSG00000149295
ANTAGONIST	CHEMBL1423	protein family	ENSG00000151577
ANTAGONIST	CHEMBL1423	protein family	ENSG00000169676
ANTAGONIST	CHEMBL1423	protein family	ENSG00000069696
ANTAGONIST	CHEMBL1423	protein family	ENSG00000184845
INHIBITOR	CHEMBL508102	single protein	ENSG00000115705
ANTAGONIST	CHEMBL539423	single protein	ENSG00000144891
ACTIVATOR	CHEMBL4650332	single protein	ENSG00000143627
AGONIST	CHEMBL1200666	single protein	ENSG00000111424
INHIBITOR	CHEMBL52885	protein family	ENSG00000010810
INHIBITOR	CHEMBL52885	protein family	ENSG00000197122
INHIBITOR	CHEMBL52885	protein family	ENSG00000182866
INHIBITOR	CHEMBL52885	protein family	ENSG00000176105
INHIBITOR	CHEMBL52885	protein family	ENSG00000136573
INHIBITOR	CHEMBL52885	protein family	ENSG00000101336
INHIBITOR	CHEMBL52885	protein family	ENSG00000254087
INHIBITOR	CHEMBL52885	protein family	ENSG00000111816
INHIBITOR	CHEMBL52885	protein family	ENSG00000000938
INHIBITOR	CHEMBL52885	protein family	ENSG00000125508
INHIBITOR	CHEMBL210651	single protein	
INHIBITOR	CHEMBL1743042	single protein	
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000022355
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000145864
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000113327
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000166206
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000109158
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000182256
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000268089
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000011677
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000094755
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000187730
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000163285
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000163288
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000102287
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000151834
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000186297
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1522	protein complex group	ENSG00000145863
ANTAGONIST	CHEMBL1631540	single protein	ENSG00000179546
INHIBITOR	CHEMBL3707365	single protein	ENSG00000126218
INHIBITOR	CHEMBL1743033	single protein	ENSG00000013725
INHIBITOR	CHEMBL4650298	chimeric protein	ENSG00000171094
INHIBITOR	CHEMBL4650298	chimeric protein	ENSG00000143924
AGONIST	CHEMBL2107815	single protein	ENSG00000160013
AGONIST	CHEMBL1237119	single protein	ENSG00000160013
INHIBITOR	CHEMBL4297700	single protein	ENSG00000112116
AGONIST	CHEMBL1201132	protein family	ENSG00000082556
AGONIST	CHEMBL1201132	protein family	ENSG00000116329
AGONIST	CHEMBL1201132	protein family	ENSG00000112038
AGONIST	CHEMBL895	protein family	ENSG00000082556
AGONIST	CHEMBL895	protein family	ENSG00000116329
AGONIST	CHEMBL895	protein family	ENSG00000112038
INHIBITOR	CHEMBL279785	single protein	ENSG00000087245
INHIBITOR	CHEMBL450044	single protein	ENSG00000140675
INHIBITOR	CHEMBL3287735	single protein	ENSG00000106462
BLOCKER	CHEMBL427216	protein complex	ENSG00000187486
BLOCKER	CHEMBL427216	protein complex	ENSG00000006071
ANTAGONIST	CHEMBL3545221	single protein	ENSG00000121807
INHIBITOR	CHEMBL5095028	single protein	ENSG00000089022
